,X,VL_name,Map_name,Convert_name,name_same
1,1695,Amparo Do São Francisco,Amparo De São Francisco,Amparo De São Francisco,FALSE
2,4423,,Augusto Severo,,FALSE
3,4524,Dona Euzébia,Dona Eusébia,Dona Eusébia,FALSE
4,1884,Ereré,Ererê,Ererê,FALSE
5,4558,,Fortaleza Do Tabocão,,FALSE
6,1137,,Lagoa Mirim,,FALSE
7,2904,São Tiago,São Tiago,São Tiago,FALSE
8,4790,São Tomás De Aquino,São Tomás De Aquino,São Tomás De Aquino,FALSE
9,4791,São Tomé,São Tomé,São Tomé,FALSE
10,436,São Tomé Das Letras,São Thomé Das Letras,São Thomé Das Letras,FALSE
11,2938,Tabocão,,,FALSE
139,1,Alta Floresta D'Oeste,Alta Floresta D'oeste,Alta Floresta D'oeste,FALSE
183,4,Alvorada D'Oeste,Alvorada D'oeste,Alvorada D'oeste,FALSE
269,3179,Aparecida D'Oeste,Aparecida D'oeste,Aparecida D'oeste,FALSE
498,1795,Barra D'Alcântara,Barra D'alcântara,Barra D'alcântara,FALSE
1301,2354,Conquista D'Oeste,Conquista D'oeste,Conquista D'oeste,FALSE
1487,3861,Diamante D'Oeste,Diamante D'oeste,Diamante D'oeste,FALSE
1493,4517,Dias D'Ávila,Dias D'ávila,Dias D'ávila,FALSE
1629,2424,Espigão D'Oeste,Espigão D'oeste,Espigão D'oeste,FALSE
1645,2427,Estrela D'Oeste,Estrela D'oeste,Estrela D'oeste,FALSE
1712,363,Figueirópolis D'Oeste,Figueirópolis D'oeste,Figueirópolis D'oeste,FALSE
1834,1494,Glória D'Oeste,Glória D'oeste,Glória D'oeste,FALSE
1931,5165,Guarani D'Oeste,Guarani D'oeste,Guarani D'oeste,FALSE
1975,956,Herval D'Oeste,Herval D'oeste,Herval D'oeste,FALSE
2269,3027,Itapejara D'Oeste,Itapejara D'oeste,Itapejara D'oeste,FALSE
2294,22,Itaporanga D'Ajuda,Itaporanga D'ajuda,Itaporanga D'ajuda,FALSE
2573,377,Lagoa D'Anta,Lagoa D'anta,Lagoa D'anta,FALSE
2622,3939,Lambari D'Oeste,Lambari D'oeste,Lambari D'oeste,FALSE
2728,4277,Machadinho D'Oeste,Machadinho D'oeste,Machadinho D'oeste,FALSE
2738,4278,Mãe D'Água,Mãe D'água,Mãe D'água,FALSE
2977,4285,Mirassol D'Oeste,Mirassol D'oeste,Mirassol D'oeste,FALSE
3174,2028,Nova Brasilândia D'Oeste,Nova Brasilândia D'oeste,Nova Brasilândia D'oeste,FALSE
3297,1155,Olho D'Água,Olho D'água,Olho D'água,FALSE
3298,1657,Olho D'Água Das Cunhãs,Olho D'água Das Cunhãs,Olho D'água Das Cunhãs,FALSE
3299,806,Olho D'Água Das Flores,Olho D'água Das Flores,Olho D'água Das Flores,FALSE
3300,1658,Olho D'Água Do Borges,Olho D'água Do Borges,Olho D'água Do Borges,FALSE
3301,2680,Olho D'Água Do Casado,Olho D'água Do Casado,Olho D'água Do Casado,FALSE
3302,3528,Olho D'Água Do Piauí,Olho D'água Do Piauí,Olho D'água Do Piauí,FALSE
3303,2681,Olho D'Água Grande,Olho D'água Grande,Olho D'água Grande,FALSE
3304,1536,Olhos-d'Água,Olhos-D'água,Olhos-D'água,FALSE
3390,1661,Palmeira D'Oeste,Palmeira D'oeste,Palmeira D'oeste,FALSE
3507,1545,Pau D'Arco,Pau D'arco,Pau D'arco,FALSE
